score_time,audio_time
0.000000000000000000e+00,9.004182413706223187e-01
2.500000000000000139e-02,9.158982111363063172e-01
5.000000000000000278e-02,9.365381708238851299e-01
7.500000000000001110e-02,9.571781305114639427e-01
1.000000000000000056e-01,9.829780801209373475e-01
1.250000000000000000e-01,1.008778029730410752e+00
1.500000000000000222e-01,1.034577979339884157e+00
1.750000000000000167e-01,1.055217939027462748e+00
2.000000000000000111e-01,1.081017888636936153e+00
2.250000000000000056e-01,1.101657848324514966e+00
2.500000000000000000e-01,1.127457797933988370e+00
2.750000000000000222e-01,1.148097757621566961e+00
3.000000000000000444e-01,1.173897707231040366e+00
3.250000000000000111e-01,1.194537666918619179e+00
3.500000000000000333e-01,1.220337616528092584e+00
3.750000000000000000e-01,1.240977576215671396e+00
4.000000000000000222e-01,1.266777525825144801e+00
4.250000000000000444e-01,1.287417485512723614e+00
4.500000000000000111e-01,1.313217435122197019e+00
4.750000000000000333e-01,1.333857394809775831e+00
5.000000000000000000e-01,1.359657344419249236e+00
5.250000000000000222e-01,1.380297304106827827e+00
5.500000000000000444e-01,1.406097253716301232e+00
5.750000000000000666e-01,1.426737213403879823e+00
6.000000000000000888e-01,1.452537163013353450e+00
6.250000000000000000e-01,1.473177122700932262e+00
6.500000000000000222e-01,1.498977072310405445e+00
6.750000000000000444e-01,1.519617031997984258e+00
7.000000000000000666e-01,1.545416981607457663e+00
7.250000000000000888e-01,1.566056941295036475e+00
7.500000000000000000e-01,1.591856890904509880e+00
7.750000000000000222e-01,1.612496850592088693e+00
8.000000000000000444e-01,1.638296800201561876e+00
8.250000000000000666e-01,1.658936759889140689e+00
8.500000000000000888e-01,1.684736709498614537e+00
8.750000000000000000e-01,1.710536659108087498e+00
9.000000000000000222e-01,1.751816578483245124e+00
9.250000000000000444e-01,1.793096497858402749e+00
9.500000000000000666e-01,1.839536407155454967e+00
9.750000000000000888e-01,1.880816326530612148e+00
1.000000000000000000e+00,1.927256235827664144e+00
1.025000000000000133e+00,1.968536155202821991e+00
1.050000000000000044e+00,2.014976064499873765e+00
1.074999999999999956e+00,2.056255983875031390e+00
1.100000000000000089e+00,2.097535903250188571e+00
1.125000000000000000e+00,2.123335852859661976e+00
1.150000000000000133e+00,2.149135802469135381e+00
1.175000000000000044e+00,2.169775762156714638e+00
1.200000000000000178e+00,2.195575711766187599e+00
1.225000000000000089e+00,2.216215671453766412e+00
1.250000000000000000e+00,2.242015621063239816e+00
1.275000000000000133e+00,2.262655580750818185e+00
1.300000000000000044e+00,2.288455530360292478e+00
1.325000000000000178e+00,2.309095490047871291e+00
1.350000000000000089e+00,2.334895439657344696e+00
1.375000000000000000e+00,2.360695389266817656e+00
1.400000000000000133e+00,2.407135298563870318e+00
1.425000000000000044e+00,2.461315192743763980e+00
1.450000000000000178e+00,2.518075081884605382e+00
1.475000000000000089e+00,2.572254976064499932e+00
1.500000000000000000e+00,2.629014865205341778e+00
