score_time,audio_time
0.000000000000000000e+00,8.384983623078861026e-01
0.000000000000000000e+00,8.513983371126228050e-01
0.000000000000000000e+00,8.668783068783069146e-01
0.000000000000000000e+00,8.849382716049380981e-01
0.000000000000000000e+00,9.055782312925169109e-01
0.000000000000000000e+00,9.287981859410430197e-01
0.000000000000000000e+00,9.520181405895691285e-01
0.000000000000000000e+00,9.752380952380952372e-01
2.500000000000000139e-02,9.984580498866213460e-01
5.000000000000000278e-02,1.021678004535147455e+00
7.500000000000001110e-02,1.044897959183673564e+00
1.000000000000000056e-01,1.068117913832199450e+00
1.250000000000000000e-01,1.091337868480725781e+00
1.500000000000000222e-01,1.114557823129251668e+00
1.750000000000000167e-01,1.137777777777777777e+00
2.000000000000000111e-01,1.160997732426303664e+00
2.250000000000000056e-01,1.184217687074829772e+00
2.500000000000000000e-01,1.207437641723355881e+00
2.750000000000000222e-01,1.230657596371881990e+00
3.000000000000000444e-01,1.253877551020408099e+00
3.250000000000000111e-01,1.277097505668933985e+00
3.500000000000000333e-01,1.300317460317460094e+00
3.750000000000000000e-01,1.323537414965986425e+00
4.000000000000000222e-01,1.346757369614512534e+00
4.250000000000000444e-01,1.369977324263038643e+00
4.500000000000000111e-01,1.393197278911564529e+00
4.750000000000000333e-01,1.416417233560090638e+00
5.000000000000000000e-01,1.439637188208616525e+00
5.250000000000000222e-01,1.462857142857142634e+00
5.500000000000000444e-01,1.486077097505668743e+00
5.750000000000000666e-01,1.509297052154194851e+00
6.000000000000000888e-01,1.532517006802720738e+00
6.250000000000000000e-01,1.555736961451247069e+00
6.500000000000000222e-01,1.578956916099773178e+00
6.750000000000000444e-01,1.602176870748299287e+00
7.000000000000000666e-01,1.625396825396825173e+00
7.250000000000000888e-01,1.648616780045351504e+00
7.500000000000000000e-01,1.671836734693877613e+00
7.750000000000000222e-01,1.695056689342403722e+00
8.000000000000000444e-01,1.718276643990929831e+00
8.250000000000000666e-01,1.741496598639455717e+00
8.500000000000000888e-01,1.764716553287981604e+00
8.750000000000000000e-01,1.787936507936507935e+00
9.000000000000000222e-01,1.811156462585034266e+00
9.250000000000000444e-01,1.834376417233560153e+00
9.500000000000000666e-01,1.857596371882086039e+00
9.750000000000000888e-01,1.880816326530612148e+00
1.000000000000000000e+00,1.904036281179138257e+00
1.000000000000000000e+00,1.927256235827664366e+00
1.000000000000000000e+00,1.950476190476190474e+00
1.000000000000000000e+00,1.973696145124716583e+00
1.000000000000000000e+00,1.996916099773242470e+00
1.000000000000000000e+00,2.020136054421768801e+00
1.000000000000000000e+00,2.043356009070294910e+00
1.000000000000000000e+00,2.066575963718820574e+00
1.000000000000000000e+00,2.089795918367347127e+00
1.000000000000000000e+00,2.113015873015872792e+00
1.025000000000000133e+00,2.136235827664398901e+00
1.050000000000000044e+00,2.159455782312925454e+00
1.074999999999999956e+00,2.182675736961451118e+00
1.100000000000000089e+00,2.205895691609977227e+00
1.125000000000000000e+00,2.229115646258503336e+00
1.150000000000000133e+00,2.252335600907029001e+00
1.175000000000000044e+00,2.275555555555555109e+00
1.200000000000000178e+00,2.298775510204081662e+00
1.225000000000000089e+00,2.321995464852607771e+00
1.250000000000000000e+00,2.345215419501133880e+00
1.275000000000000133e+00,2.368435374149659545e+00
1.300000000000000044e+00,2.391655328798185653e+00
1.325000000000000178e+00,2.414875283446711762e+00
1.350000000000000089e+00,2.438095238095237871e+00
1.375000000000000000e+00,2.461315192743763980e+00
1.400000000000000133e+00,2.484535147392289645e+00
1.425000000000000044e+00,2.507755102040816197e+00
1.450000000000000178e+00,2.530975056689342306e+00
1.475000000000000089e+00,2.554195011337868415e+00
1.500000000000000000e+00,2.577414965986394524e+00
1.500000000000000000e+00,2.600634920634920633e+00
1.500000000000000000e+00,2.623854875283446741e+00
1.500000000000000000e+00,2.647074829931972406e+00
1.500000000000000000e+00,2.670294784580498515e+00
1.500000000000000000e+00,2.693514739229024624e+00
1.500000000000000000e+00,2.716734693877550733e+00
1.500000000000000000e+00,2.739954648526076841e+00
1.500000000000000000e+00,2.763174603174603394e+00
1.500000000000000000e+00,2.786394557823129503e+00
1.500000000000000000e+00,2.809614512471655168e+00
1.500000000000000000e+00,2.832834467120181277e+00
1.500000000000000000e+00,2.856054421768707385e+00
1.500000000000000000e+00,2.879274376417233494e+00
1.500000000000000000e+00,2.902494331065759603e+00
1.500000000000000000e+00,2.925714285714285268e+00
1.500000000000000000e+00,2.948934240362811821e+00
1.525000000000000133e+00,2.972154195011337485e+00
1.550000000000000044e+00,2.995374149659864038e+00
1.575000000000000178e+00,3.018594104308390147e+00
1.600000000000000089e+00,3.041814058956916256e+00
1.625000000000000000e+00,3.065034013605441920e+00
1.650000000000000133e+00,3.088253968253968029e+00
1.675000000000000044e+00,3.111473922902494138e+00
1.700000000000000178e+00,3.134693877551020247e+00
1.725000000000000089e+00,3.157913832199545912e+00
1.750000000000000000e+00,3.181133786848072020e+00
1.775000000000000133e+00,3.204353741496598129e+00
1.800000000000000044e+00,3.227573696145124682e+00
1.825000000000000178e+00,3.250793650793650791e+00
1.850000000000000089e+00,3.274013605442176900e+00
1.875000000000000000e+00,3.297233560090703008e+00
1.900000000000000133e+00,3.320453514739228673e+00
1.925000000000000044e+00,3.343673469387754782e+00
1.950000000000000178e+00,3.366893424036280891e+00
1.975000000000000089e+00,3.390113378684806555e+00
2.000000000000000000e+00,3.413333333333333108e+00
2.000000000000000000e+00,3.436553287981859661e+00
2.000000000000000000e+00,3.459773242630385326e+00
2.000000000000000000e+00,3.482993197278911879e+00
2.000000000000000000e+00,3.506213151927437988e+00
2.000000000000000000e+00,3.529433106575963652e+00
2.000000000000000000e+00,3.552653061224489761e+00
2.000000000000000000e+00,3.575873015873015870e+00
2.000000000000000000e+00,3.599092970521541535e+00
2.000000000000000000e+00,3.622312925170067643e+00
2.000000000000000000e+00,3.645532879818593752e+00
2.000000000000000000e+00,3.668752834467119861e+00
2.000000000000000000e+00,3.691972789115645970e+00
2.000000000000000000e+00,3.715192743764172523e+00
2.000000000000000000e+00,3.738412698412698632e+00
2.000000000000000000e+00,3.761632653061224296e+00
2.000000000000000000e+00,3.784852607709750405e+00
2.000000000000000000e+00,3.808072562358276070e+00
2.000000000000000000e+00,3.831292517006802179e+00
2.000000000000000000e+00,3.854512471655327843e+00
2.000000000000000000e+00,3.877732426303854396e+00
2.000000000000000000e+00,3.900952380952380949e+00
2.000000000000000000e+00,3.924172335600906614e+00
2.000000000000000000e+00,3.947392290249433167e+00
2.000000000000000000e+00,3.970612244897959275e+00
2.000000000000000000e+00,3.993832199546484940e+00
2.000000000000000000e+00,4.017052154195011049e+00
2.000000000000000000e+00,4.040272108843537602e+00
