song,label,score_time,audio_time_ref,note
aka-si-mi-krasna-transposed,takt_01,0.0,0.726,začiatok taktu 1
aka-si-mi-krasna-transposed,takt_10,18.0,27.846,začiatok taktu 10
aka-si-mi-krasna-transposed,takt_19,36.0,52.200,začiatok taktu 19
aka-si-mi-krasna-transposed,takt_23,44.0,63.447,začiatok taktu 23
aka-si-mi-krasna-transposed,takt_32,62.0,94.150,začiatok taktu 32
aka-si-mi-krasna-transposed,takt_36,70.0,105.624,začiatok taktu 36
