song,label,score_time,audio_time_ref,note
aka-si-mi-krasna,takt_01,0.0,1.723,začiatok taktu 1
aka-si-mi-krasna,takt_10,18.0,26.531,začiatok taktu 10
aka-si-mi-krasna,takt_19,36.0,49.615,začiatok taktu 19
aka-si-mi-krasna,takt_23,44.0,60.907,začiatok taktu 23
aka-si-mi-krasna,takt_32,62.0,90.340,začiatok taktu 32
aka-si-mi-krasna,takt_36,70.0,101.814,začiatok taktu 36
