song,label,score_time,audio_time_ref,audio_time_pred,error_seconds,absolute_error_seconds,valid,note
palenocka,takt_102,202.0,101.662,101.54086167800452,-0.12113832199548824,0.12113832199548824,True,začiatok taktu 102
palenocka,takt_103,204.0,102.569,102.21424036281178,-0.35475963718822356,0.35475963718822356,True,začiatok taktu 103
palenocka,takt_104,206.0,103.476,103.07337868480724,-0.4026213151927607,0.4026213151927607,True,začiatok taktu 104
palenocka,takt_105,208.0,104.202,103.30557823129251,-0.8964217687074836,0.8964217687074836,True,začiatok taktu 105
palenocka,takt_106,210.0,104.882,103.67709750566893,-1.2049024943310798,1.2049024943310798,True,začiatok taktu 106
palenocka,takt_107,212.0,105.517,105.13995464852607,-0.3770453514739245,0.3770453514739245,True,začiatok taktu 107
palenocka,takt_108,214.0,106.05,105.90621315192743,-0.14378684807256548,0.14378684807256548,True,začiatok taktu 108
palenocka,takt_109,216.0,106.685,106.55637188208615,-0.12862811791384843,0.12862811791384843,True,začiatok taktu 109
palenocka,takt_110,218.0,107.319,107.60900982615269,0.29000982615268356,0.29000982615268356,True,začiatok taktu 110
palenocka,takt_111,220.0,108.272,107.87990929705214,-0.3920907029478684,0.3920907029478684,True,začiatok taktu 111
